               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,    metrics/void_mAP, metrics/void_mAP_50
                  33,            0.038249,             0.04056,                   0,             0.85593,             0.75805,             0.85209,             0.54071,            0.034113,             0.03134,                   0,            0.006832,            0.006832,            0.006832,             0.54071,             0.85209
                  34,            0.038053,            0.040483,                   0,             0.83009,             0.76053,              0.8514,             0.54097,             0.03373,            0.030604,                   0,            0.006733,            0.006733,            0.006733,             0.54097,              0.8514
                  35,            0.037988,            0.039402,                   0,             0.82547,             0.78001,             0.84981,             0.55157,            0.033882,            0.031678,                   0,            0.006634,            0.006634,            0.006634,             0.55157,             0.84981
                  36,            0.037987,            0.040537,                   0,             0.85743,             0.74293,             0.84874,             0.54438,            0.034033,            0.031407,                   0,            0.006535,            0.006535,            0.006535,             0.54438,             0.84874
                  37,            0.037455,            0.039237,                   0,             0.86762,             0.74104,                0.84,              0.5165,            0.036311,            0.031779,                   0,            0.006436,            0.006436,            0.006436,              0.5165,                0.84
                  38,            0.037495,            0.039392,                   0,             0.84101,              0.7599,             0.84186,             0.52266,            0.035542,            0.031813,                   0,            0.006337,            0.006337,            0.006337,             0.52266,             0.84186
                  39,            0.036768,            0.039114,                   0,             0.85596,             0.75076,             0.84903,             0.54242,              0.0346,             0.03125,                   0,            0.006238,            0.006238,            0.006238,             0.54242,             0.84903
                  40,            0.036362,            0.038732,                   0,             0.84413,             0.75487,             0.84789,             0.54335,            0.034504,            0.031323,                   0,            0.006139,            0.006139,            0.006139,             0.54335,             0.84789
                  41,            0.036503,            0.038516,                   0,             0.85681,             0.77561,             0.85051,             0.54084,            0.034828,            0.030635,                   0,             0.00604,             0.00604,             0.00604,             0.54084,             0.85051
                  42,            0.036334,            0.039021,                   0,             0.83634,             0.76123,             0.83755,             0.53606,            0.034715,             0.03179,                   0,            0.005941,            0.005941,            0.005941,             0.53606,             0.83755
                  43,            0.036153,            0.038656,                   0,             0.88596,             0.75424,             0.84809,             0.55543,            0.034032,            0.030951,                   0,            0.005842,            0.005842,            0.005842,             0.55543,             0.84809
                  44,            0.035917,            0.038916,                   0,             0.88557,              0.7599,             0.85161,              0.5613,            0.033199,            0.031116,                   0,            0.005743,            0.005743,            0.005743,              0.5613,             0.85161
                  45,            0.035446,            0.038034,                   0,             0.85274,             0.77892,             0.86564,             0.57202,            0.032861,            0.030425,                   0,            0.005644,            0.005644,            0.005644,             0.57202,             0.86564
                  46,             0.03483,            0.038088,                   0,             0.83588,             0.76933,             0.85122,             0.55852,             0.03344,            0.031319,                   0,            0.005545,            0.005545,            0.005545,             0.55852,             0.85122
                  47,            0.035048,            0.037523,                   0,             0.87107,             0.75164,             0.85174,             0.56094,            0.033357,            0.031217,                   0,            0.005446,            0.005446,            0.005446,             0.56094,             0.85174
                  48,            0.034721,            0.037508,                   0,             0.83604,             0.76277,             0.84268,             0.55387,            0.033979,            0.031344,                   0,            0.005347,            0.005347,            0.005347,             0.55387,             0.84268
                  49,            0.034655,            0.037645,                   0,             0.88278,             0.77626,             0.85874,             0.56048,            0.033272,            0.030631,                   0,            0.005248,            0.005248,            0.005248,             0.56048,             0.85874
                  50,             0.03377,            0.036186,                   0,             0.87433,             0.77404,             0.85248,             0.57197,            0.032582,             0.03066,                   0,            0.005149,            0.005149,            0.005149,             0.57197,             0.85248
                  51,            0.033786,            0.036771,                   0,             0.87803,             0.75864,             0.84572,             0.55479,            0.034025,            0.031579,                   0,             0.00505,             0.00505,             0.00505,             0.55479,             0.84572
                  52,            0.034352,            0.036472,                   0,             0.84946,             0.76241,             0.84514,             0.57171,            0.033311,            0.030888,                   0,            0.004951,            0.004951,            0.004951,             0.57171,             0.84514
                  53,            0.033865,            0.036663,                   0,             0.88317,             0.77436,             0.86609,             0.58206,            0.032346,            0.030149,                   0,            0.004852,            0.004852,            0.004852,             0.58206,             0.86609
                  54,            0.033861,            0.037008,                   0,             0.88222,             0.75328,             0.85446,             0.58404,            0.032407,            0.030697,                   0,            0.004753,            0.004753,            0.004753,             0.58404,             0.85446
                  55,            0.033568,            0.035883,                   0,             0.85651,             0.76912,             0.85771,             0.57304,            0.033023,             0.03049,                   0,            0.004654,            0.004654,            0.004654,             0.57304,             0.85771
                  56,            0.033091,            0.035622,                   0,             0.89988,             0.75299,             0.86052,             0.57259,            0.032864,            0.030507,                   0,            0.004555,            0.004555,            0.004555,             0.57259,             0.86052
                  57,             0.03288,            0.034535,                   0,             0.88661,             0.76116,             0.85349,             0.57626,            0.032956,            0.030873,                   0,            0.004456,            0.004456,            0.004456,             0.57626,             0.85349
                  58,            0.032545,            0.035625,                   0,             0.89348,              0.7592,             0.85769,             0.58302,            0.032781,            0.030894,                   0,            0.004357,            0.004357,            0.004357,             0.58302,             0.85769
                  59,            0.032729,            0.036643,                   0,             0.86534,             0.78764,             0.85877,             0.59101,            0.031939,            0.030716,                   0,            0.004258,            0.004258,            0.004258,             0.59101,             0.85877
                  60,            0.032673,            0.035099,                   0,              0.8876,             0.76438,             0.85781,             0.58452,            0.032447,             0.03021,                   0,            0.004159,            0.004159,            0.004159,             0.58452,             0.85781
                  61,            0.032247,             0.03461,                   0,             0.87399,             0.76744,             0.85686,             0.57945,            0.032392,            0.030995,                   0,             0.00406,             0.00406,             0.00406,             0.57945,             0.85686
                  62,            0.031725,            0.033797,                   0,              0.8654,             0.76782,             0.85401,             0.59326,            0.032126,            0.030089,                   0,            0.003961,            0.003961,            0.003961,             0.59326,             0.85401
                  63,            0.032001,            0.035164,                   0,             0.88391,             0.76094,             0.85528,             0.59147,            0.031998,            0.030293,                   0,            0.003862,            0.003862,            0.003862,             0.59147,             0.85528
                  64,             0.03182,            0.034127,                   0,             0.88083,             0.77123,             0.85696,             0.59226,            0.031917,            0.030495,                   0,            0.003763,            0.003763,            0.003763,             0.59226,             0.85696
                  65,            0.031279,            0.034159,                   0,             0.91254,             0.76179,             0.86037,             0.59944,            0.031869,            0.030145,                   0,            0.003664,            0.003664,            0.003664,             0.59944,             0.86037
                  66,            0.031205,            0.033167,                   0,             0.88998,             0.75758,             0.85773,             0.59716,               0.032,             0.03014,                   0,            0.003565,            0.003565,            0.003565,             0.59716,             0.85773
                  67,            0.030832,            0.033497,                   0,             0.87383,             0.76618,             0.85955,             0.59801,            0.032223,            0.030871,                   0,            0.003466,            0.003466,            0.003466,             0.59801,             0.85955
                  68,            0.030788,            0.032982,                   0,             0.88888,             0.77058,              0.8631,             0.59838,            0.032117,            0.030615,                   0,            0.003367,            0.003367,            0.003367,             0.59838,              0.8631
                  69,            0.031178,            0.034556,                   0,             0.89208,             0.77414,             0.86607,             0.60399,            0.031556,             0.02991,                   0,            0.003268,            0.003268,            0.003268,             0.60399,             0.86607
                  70,            0.031017,            0.033176,                   0,             0.88782,             0.75927,             0.86654,             0.61195,            0.031428,            0.030003,                   0,            0.003169,            0.003169,            0.003169,             0.61195,             0.86654
                  71,            0.030496,            0.033374,                   0,             0.86857,             0.77687,             0.86105,             0.60386,            0.031941,            0.030609,                   0,             0.00307,             0.00307,             0.00307,             0.60386,             0.86105
                  72,            0.030549,            0.031682,                   0,             0.88626,             0.77938,             0.86228,             0.61358,            0.031194,            0.030494,                   0,            0.002971,            0.002971,            0.002971,             0.61358,             0.86228
                  73,            0.030432,            0.032475,                   0,              0.8654,             0.77591,             0.86495,             0.60585,            0.031579,            0.030514,                   0,            0.002872,            0.002872,            0.002872,             0.60585,             0.86495
                  74,             0.02956,            0.032527,                   0,              0.8705,             0.78163,             0.86409,             0.61008,            0.031027,            0.030384,                   0,            0.002773,            0.002773,            0.002773,             0.61008,             0.86409
